club_key,club_name,direction,player_name,player_key,from_team_name,from_match_id,from_kickoff,from_opponent,to_team_name,to_match_id,to_kickoff,to_opponent,gap_hours
blau_weiss,FC Blau-Weiß Leipzig,first_to_second,Jonas Arndt,userid:02I4GO4VU8000000VUM1DNOUVV9LBLON,FC Blau-Weiß Leipzig,02TP672CU0000000VS5489BUVSPHI8RP,2025-08-23T15:00:00+02:00,SC Eintracht Schkeuditz I,FC Blau-Weiß Leipzig II,02TP6B4318000000VS5489BUVSPHI8RP,2025-08-24T14:00:00+02:00,SV Lipsia 93 Eutritzsch II,23.0
blau_weiss,FC Blau-Weiß Leipzig,second_to_first,Shervin Janbazi,userid:02R3U5P9HK000000VUM1D54PVUID3EGC,FC Blau-Weiß Leipzig II,02TP6B457O000000VS5489BUVSPHI8RP,2025-10-02T19:00:00+02:00,VfB Zwenkau 02 II,FC Blau-Weiß Leipzig,02TP672AS4000000VS5489BUVSPHI8RP,2025-10-05T15:00:00+02:00,Roter Stern Leipzig I,68.0
olympia,SG Olympia 1896 Leipzig,second_to_first,Simon Kisabaka,player-id:01C7N76RM8000000VV0AG811VSJOISBG,SG Olympia 1896 Leipzig II,02TP6B436C000000VS5489BUVSPHI8RP,2025-09-06T15:00:00+02:00,FC Blau-Weiß Leipzig II,SG Olympia 1896 Leipzig I,02TP6728EK000000VS5489BUVSPHI8RP,2025-09-07T15:00:00+02:00,FC Blau-Weiß Leipzig I,24.0
olympia,SG Olympia 1896 Leipzig,second_to_first,Florian Schneider,player-id:014TCFJC4G000000VV0AG811VVE6U338,SG Olympia 1896 Leipzig II,02TP6B43F4000000VS5489BUVSPHI8RP,2025-11-23T14:00:00+01:00,SG Leipzig-Bienitz I,SG Olympia 1896 Leipzig I,02TP6728V8000000VS5489BUVSPHI8RP,2025-11-23T15:00:00+01:00,SV Schleußig 1990 I,1.0
olympia,SG Olympia 1896 Leipzig,second_to_first,Luca Virgilio,player-id:00TUVC92RO000000VV0AG80NVU0T17V8,SG Olympia 1896 Leipzig II,02TP6B4AJC000000VS5489BUVSPHI8RP,2026-03-14T15:00:00+01:00,TSV Böhlitz-Ehrenberg 1990 I,SG Olympia 1896 Leipzig I,02TP672JSS000000VS5489BUVSPHI8RP,2026-03-15T14:00:00+01:00,SV Eiche Wachau,23.0
rotation,SG Rotation Leipzig 1950,first_to_second,Abdullah Jasim Alqatash,userid:02VJL20UH0000000VUM1D522VTQILG7C,SG Rotation Leipzig,02TP672CVG000000VS5489BUVSPHI8RP,2025-08-23T15:30:00+02:00,SV Leipzig-Thekla I,SG Rotation Leipzig II,02TP6B430G000000VS5489BUVSPHI8RP,2025-08-24T15:00:00+02:00,SG Olympia 1896 Leipzig II,23.5
rotation,SG Rotation Leipzig 1950,first_to_second,Abdullah Jasim Alqatash,userid:02VJL20UH0000000VUM1D522VTQILG7C,SG Rotation Leipzig,02TP6728FG000000VS5489BUVSPHI8RP,2025-09-06T15:00:00+02:00,SSV Markranstädt II,SG Rotation Leipzig II,02TP6B4374000000VS5489BUVSPHI8RP,2025-09-07T14:00:00+02:00,SV Victoria 90 Leipzig I,23.0
rotation,SG Rotation Leipzig 1950,first_to_second,Majed Hassan,userid:02QCG7VR7K000000VUM1D51BVSD5TPP5,SG Rotation Leipzig,02TP6728FG000000VS5489BUVSPHI8RP,2025-09-06T15:00:00+02:00,SSV Markranstädt II,SG Rotation Leipzig II,02TP6B4374000000VS5489BUVSPHI8RP,2025-09-07T14:00:00+02:00,SV Victoria 90 Leipzig I,23.0
rotation,SG Rotation Leipzig 1950,first_to_second,Abdullah Jasim Alqatash,userid:02VJL20UH0000000VUM1D522VTQILG7C,SG Rotation Leipzig,02TP672ALS000000VS5489BUVSPHI8RP,2025-10-18T15:00:00+02:00,FC Blau-Weiß Leipzig I,SG Rotation Leipzig II,02TP6B44K8000000VS5489BUVSPHI8RP,2025-10-19T15:00:00+02:00,VfB Zwenkau 02 II,24.0
rotation,SG Rotation Leipzig 1950,first_to_second,Brian Milkowski,player-id:01A99BI394000000VV0AG80NVUHDCBUA,SG Rotation Leipzig,02TP672ALS000000VS5489BUVSPHI8RP,2025-10-18T15:00:00+02:00,FC Blau-Weiß Leipzig I,SG Rotation Leipzig II,02TP6B44K8000000VS5489BUVSPHI8RP,2025-10-19T15:00:00+02:00,VfB Zwenkau 02 II,24.0
